"DTI_CL_INDICADOR","Indicador","DTI_CL_TRIMESTRE_MOVIL","Trimestre Móvil","DTI_CL_REGION","Región","DTI_CL_SEXO","Sexo","Value","Flag Codes","Flags"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","_T","Ambos sexos",9.0397394896575,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","M","Hombres",7.87598523482967,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","_T","Total país","F","Mujeres",10.8494140150873,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","_T","Ambos sexos",7.74795309466063,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","M","Hombres",6.5097283404218,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL15","Región de Arica y Parinacota","F","Mujeres",9.40942713480444,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","_T","Ambos sexos",6.5565880905089,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","M","Hombres",5.69473323558542,"c","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 20%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL01","Región de Tarapacá","F","Mujeres",7.90488469105179,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","_T","Ambos sexos",8.57483772641882,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","M","Hombres",6.75787545848354,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL02","Región de Antofagasta","F","Mujeres",12.1462572626237,,
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","_T","Ambos sexos",9.4392411546631,"a","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 15%)"
"ENE_TD","Tasa de desocupación (proyecciones base 2002)","2010-V02","2010 ene-mar","CHL03","Región de Atacama","M","Hombres",8.74592922369006,"c","Esta estimación no tiene la precisión estadística recomendada (coeficiente de variación mayor a 20%)"
